Date,Open,High,Low,Close
2018-7-15,435.88,454.0,433.92,449.85
2018-7-14,434.51,439.43,431.47,436.09
2018-7-13,430.74,442.36,430.74,434.03
2018-7-12,446.5,446.5,422.81,430.07
2018-7-11,434.51,447.32,429.51,446.52
2018-7-10,476.16,478.32,433.96,434.42
2018-7-9,488.88,490.85,475.18,476.68
2018-7-8,492.07,503.2,488.42,489.12
2018-7-7,474.06,491.66,466.84,491.66
2018-7-6,474.36,479.65,457.62,474.01
2018-7-5,467.29,483.23,464.63,474.41
2018-7-4,464.15,481.44,455.19,467.32
2018-7-3,475.39,483.85,462.58,464.19
2018-7-2,453.82,479.13,447.11,475.35
2018-7-1,455.24,457.14,446.38,453.92
2018-6-30,436.21,458.8,436.21,455.18
2018-6-29,422.59,441.79,407.95,436.01
2018-6-28,442.29,443.62,419.68,422.37
2018-6-27,432.24,444.24,424.84,442.37
2018-6-26,460.73,461.21,432.77,432.77
2018-6-25,455.94,470.34,448.9,460.31
2018-6-24,474.77,475.36,426.47,457.67
2018-6-23,466.27,479.13,462.39,474.52
2018-6-22,527.19,527.19,456.88,465.82
2018-6-21,536.45,543.72,524.26,527.37
2018-6-20,538.51,541.01,519.37,536.27
2018-6-19,519.02,542.35,516.31,537.96
2018-6-18,499.38,521.8,494.07,518.89
2018-6-17,499.46,507.64,498.65,500.45
2018-6-16,490.41,503.22,488.85,499.64
2018-6-15,520.48,521.3,487.47,491.0
2018-6-14,478.38,523.54,467.47,519.74
2018-6-13,498.02,501.9,459.0,477.49
2018-6-12,532.71,538.96,491.24,496.84
2018-6-11,524.86,536.86,515.27,533.28
2018-6-10,594.35,594.35,511.89,526.48
2018-6-9,600.9,608.58,597.56,597.56
2018-6-8,605.44,608.81,595.59,601.08
2018-6-7,607.69,616.14,601.69,605.19
2018-6-6,610.26,611.64,596.4,607.12
2018-6-5,593.41,611.33,580.98,609.3
2018-6-4,619.44,623.43,583.75,592.99
2018-6-3,591.26,624.51,591.26,618.33
2018-6-2,580.43,597.08,577.32,591.81
2018-6-1,578.67,589.09,567.66,580.04
2018-5-31,558.5,585.54,557.07,577.64
2018-5-30,566.83,583.14,545.43,559.59
2018-5-29,516.15,572.26,516.15,565.39
2018-5-28,573.04,576.05,512.55,516.04
2018-5-27,588.52,590.33,562.87,572.67
2018-5-26,587.43,606.17,583.51,587.28
2018-5-25,602.14,617.19,575.62,586.73
2018-5-24,584.54,610.82,557.21,601.75
2018-5-23,646.67,651.64,572.95,583.59
2018-5-22,700.18,700.98,644.03,647.74
2018-5-21,717.19,719.28,692.49,699.22
2018-5-20,697.92,723.75,692.67,715.37
2018-5-19,695.07,715.58,686.79,696.53
2018-5-18,672.1,695.03,663.81,694.37
2018-5-17,708.72,718.83,668.83,672.66
2018-5-16,708.09,710.2,682.54,707.05
2018-5-15,731.14,739.05,701.0,708.87
2018-5-14,732.73,742.17,695.79,730.55
2018-5-13,687.17,741.31,675.32,733.5
2018-5-12,679.88,691.41,644.07,686.05
2018-5-11,727.01,736.98,669.83,679.59
2018-5-10,752.58,766.75,726.66,727.28
2018-5-9,752.9,759.53,718.47,752.27
2018-5-8,755.01,774.25,728.13,752.86
2018-5-7,793.34,795.76,710.18,753.73
2018-5-6,816.09,835.06,764.88,792.31
2018-5-5,784.58,827.46,784.24,816.12
2018-5-4,776.77,803.75,762.63,785.62
2018-5-3,686.59,784.34,686.59,779.54
2018-5-2,674.08,688.84,667.42,687.15
2018-5-1,670.46,674.4,637.54,673.61
2018-4-30,689.76,694.44,666.12,669.92
2018-4-29,683.91,697.76,670.51,688.88
2018-4-28,644.65,691.44,644.65,683.68
2018-4-27,662.11,684.87,647.03,647.03
2018-4-26,618.08,663.18,604.01,662.81
2018-4-25,707.06,707.06,600.21,615.42
2018-4-24,643.4,708.88,643.4,708.16
2018-4-23,621.2,646.7,621.03,642.55
2018-4-22,606.12,640.77,593.87,621.86
2018-4-21,616.0,621.89,578.55,605.39
2018-4-20,567.99,618.72,560.28,615.72
2018-4-19,524.04,567.89,523.26,567.89
2018-4-18,503.31,525.09,503.05,524.79
2018-4-17,511.14,518.03,502.56,502.89
2018-4-16,532.07,534.2,500.25,511.15
2018-4-15,502.88,531.7,502.88,531.7
2018-4-14,492.58,512.02,488.28,501.48
2018-4-13,493.16,526.47,482.66,492.74
2018-4-12,430.16,493.06,417.41,492.94
2018-4-11,415.02,430.54,412.47,430.54
2018-4-10,399.41,415.89,393.88,414.24
2018-4-9,400.86,429.25,390.61,398.53
2018-4-8,385.74,402.59,385.6,400.51
2018-4-7,370.38,393.06,369.94,385.31
