Date,Open,High,Low,Close
2018-6-26,81.82,82.5,76.85,76.87
2018-6-25,80.37,86.07,79.02,81.83
2018-6-24,82.74,83.39,74.29,80.78
2018-6-23,85.09,86.36,81.64,82.6
2018-6-22,96.94,97.12,81.4,85.08
2018-6-21,97.88,98.87,96.36,96.93
2018-6-20,98.96,99.2,95.97,97.99
2018-6-19,98.73,100.82,97.4,98.84
2018-6-18,95.77,99.81,93.91,98.82
2018-6-17,97.72,98.66,95.53,96.1
2018-6-16,96.58,98.35,93.97,97.58
2018-6-15,101.11,101.11,95.6,96.68
2018-6-14,93.99,102.42,93.61,101.15
2018-6-13,100.8,100.95,91.29,94.08
2018-6-12,107.43,108.06,99.37,100.75
2018-6-11,106.54,108.85,104.12,107.52
2018-6-10,117.56,117.56,104.08,107.04
2018-6-9,120.11,121.03,117.74,117.74
2018-6-8,121.52,121.95,118.7,120.08
2018-6-7,121.34,123.18,119.62,121.43
2018-6-6,121.89,122.14,118.56,121.18
2018-6-5,119.9,122.01,116.44,121.7
2018-6-4,125.21,126.33,118.73,119.9
2018-6-3,123.28,127.37,122.37,125.5
2018-6-2,119.83,123.89,118.95,123.31
2018-6-1,118.03,120.2,117.12,119.92
2018-5-31,117.32,120.59,116.64,118.07
2018-5-30,119.54,122.38,116.02,117.53
2018-5-29,111.84,121.96,110.9,119.57
2018-5-28,117.93,119.08,111.48,111.6
2018-5-27,118.5,118.85,116.99,117.99
2018-5-26,119.35,122.25,117.87,118.28
2018-5-25,122.56,124.2,117.82,119.44
2018-5-24,119.19,124.37,115.89,122.61
2018-5-23,128.81,129.33,117.35,119.31
2018-5-22,134.26,135.6,128.33,128.68
2018-5-21,139.64,139.64,133.93,134.51
2018-5-20,135.27,140.31,133.79,139.7
2018-5-19,135.97,137.5,133.87,135.32
2018-5-18,132.7,137.06,129.7,136.06
2018-5-17,139.56,141.17,131.95,132.77
2018-5-16,139.65,140.65,135.28,139.27
2018-5-15,147.49,149.38,138.57,139.88
2018-5-14,144.62,152.16,136.07,147.71
2018-5-13,141.8,147.25,137.66,144.59
2018-5-12,137.26,144.42,132.59,141.88
2018-5-11,149.44,149.44,134.73,137.12
2018-5-10,157.15,160.34,149.34,149.87
2018-5-9,159.62,159.62,152.6,157.06
2018-5-8,164.83,167.98,158.16,159.62
2018-5-7,171.76,171.92,158.93,164.88
2018-5-6,178.02,182.88,166.18,171.8
2018-5-5,168.35,181.63,168.35,177.76
2018-5-4,160.47,170.38,157.94,168.79
2018-5-3,151.86,164.0,151.01,161.46
2018-5-2,148.44,152.89,146.98,151.58
2018-5-1,148.34,148.54,143.94,148.49
2018-4-30,153.65,154.08,147.87,148.48
2018-4-29,152.16,155.62,148.9,153.63
