XRP,,,,LTC,,,,BTC,,,,ETH,,,,,,,,
Date,Open,,,Date,Open,,,Date,Open,,,Date,Open,,,,XRP,LTC,BTC,ETH
1/1/2018,2.3,1,,1/1/2018,231.67,1,,1/1/2018,14112.2,1,,1/1/2018,755.76,1,,1/1/2018,1,1,1,1
1/2/2018,2.37,1.030434783,,1/2/2018,228.99,0.988431821,,1/2/2018,13625,0.96547668,,1/2/2018,772.35,1.021951413,,1/2/2018,1.030434783,0.988431821,0.96547668,1.021951413
1/3/2018,2.46,1.069565217,,1/3/2018,255.69,1.103681961,,1/3/2018,14978.2,1.061365343,,1/3/2018,886,1.17232984,,1/3/2018,1.069565217,1.103681961,1.061365343,1.17232984
1/4/2018,3.12,1.356521739,,1/4/2018,245.47,1.059567488,,1/4/2018,15270.7,1.082092091,,1/4/2018,961.71,1.272507145,,1/4/2018,1.356521739,1.059567488,1.082092091,1.272507145
1/5/2018,3.3,1.434782609,,1/5/2018,241.03,1.040402296,,1/5/2018,15477.2,1.09672482,,1/5/2018,975.75,1.291084471,,1/5/2018,1.434782609,1.040402296,1.09672482,1.291084471
1/6/2018,3.02,1.313043478,,1/6/2018,249.77,1.078128372,,1/6/2018,17462.1,1.237376171,,1/6/2018,995.15,1.316753996,,1/6/2018,1.313043478,1.078128372,1.237376171,1.316753996
1/7/2018,3.09,1.343478261,,1/7/2018,296.05,1.277895282,,1/7/2018,17527.3,1.241996287,,1/7/2018,1043.01,1.380080978,,1/7/2018,1.343478261,1.277895282,1.241996287,1.380080978
1/8/2018,3.36,1.460869565,,1/8/2018,287.73,1.24198213,,1/8/2018,16476.2,1.167514633,,1/8/2018,1158.26,1.532576479,,1/8/2018,1.460869565,1.24198213,1.167514633,1.532576479
1/9/2018,2.44,1.060869565,,1/9/2018,254.61,1.099020158,,1/9/2018,15123.7,1.071675571,,1/9/2018,1146,1.516354398,,1/9/2018,1.060869565,1.099020158,1.071675571,1.516354398
1/10/2018,2.13,0.926086957,,1/10/2018,248.07,1.070790348,,1/10/2018,14588.5,1.033750939,,1/10/2018,1300.34,1.720572669,,1/10/2018,0.926086957,1.070790348,1.033750939,1.720572669
1/11/2018,1.98,0.860869565,,1/11/2018,251.52,1.08568222,,1/11/2018,14968.2,1.060656737,,1/11/2018,1268.09,1.677900392,,1/11/2018,0.860869565,1.08568222,1.060656737,1.677900392
1/12/2018,1.94,0.843478261,,1/12/2018,229.79,0.991885009,,1/12/2018,13453.9,0.953352418,,1/12/2018,1158.29,1.532616174,,1/12/2018,0.843478261,0.991885009,0.953352418,1.532616174
1/13/2018,2.05,0.891304348,,1/13/2018,236.88,1.022488885,,1/13/2018,13952.4,0.988676464,,1/13/2018,1270.47,1.68104954,,1/13/2018,0.891304348,1.022488885,0.988676464,1.68104954
1/14/2018,2.02,0.87826087,,1/14/2018,260.58,1.124789571,,1/14/2018,14370.8,1.01832457,,1/14/2018,1397.48,1.849105536,,1/14/2018,0.87826087,1.124789571,1.01832457,1.849105536
1/15/2018,1.86,0.808695652,,1/15/2018,237.29,1.024258644,,1/15/2018,13767.3,0.975560154,,1/15/2018,1365.21,1.806406796,,1/15/2018,0.808695652,1.024258644,0.975560154,1.806406796
1/16/2018,1.68,0.730434783,,1/16/2018,232.82,1.004963957,,1/16/2018,13836.1,0.980435368,,1/16/2018,1292.63,1.710371017,,1/16/2018,0.730434783,1.004963957,0.980435368,1.710371017
1/17/2018,1.18,0.513043478,,1/17/2018,190.15,0.820779557,,1/17/2018,11431.1,0.810015448,,1/17/2018,1061.34,1.404334709,,1/17/2018,0.513043478,0.820779557,0.810015448,1.404334709
1/18/2018,1.31,0.569565217,,1/18/2018,186.95,0.806966806,,1/18/2018,11198.8,0.793554513,,1/18/2018,1016.44,1.344924315,,1/18/2018,0.569565217,0.806966806,0.793554513,1.344924315
1/19/2018,1.58,0.686956522,,1/19/2018,191.19,0.825268701,,1/19/2018,11429.8,0.809923329,,1/19/2018,1028.82,1.361305176,,1/19/2018,0.686956522,0.825268701,0.809923329,1.361305176
1/20/2018,1.56,0.67826087,,1/20/2018,194.38,0.839038287,,1/20/2018,11656.2,0.825966185,,1/20/2018,1044.95,1.382647931,,1/20/2018,0.67826087,0.839038287,0.825966185,1.382647931
1/21/2018,1.58,0.686956522,,1/21/2018,211.24,0.911814219,,1/21/2018,12889.2,0.913337396,,1/21/2018,1155.68,1.529162697,,1/21/2018,0.686956522,0.911814219,0.913337396,1.529162697
