X,r0,r2,r3,r5,r7,r10,r12,r17,r18,r23,r25,r28,r30,r32,r33,count
0,,2,3,5,7,10,12,17,18,23,25,,30,32,33,13
1,,,3,5,,10,12,17,,23,,,,,,6
2,0,2,,,7,,,17,,,25,,30,,33,7
3,,2,,5,,,,,,,,,30,32,33,5
4,,,3,,7,,,,,,,,30,32,,4
5,0,2,,,7,,,17,,,,,30,,,5
6,,,3,5,7,10,,,,,,28,,32,,6
7,,2,3,,,,,,,23,25,,,,33,5
8,,,3,,7,,,,18,,,,,32,33,5
9,,,,,7,10,,,18,23,,,,32,33,6
10,,2,,5,7,,,,,23,,28,,,,5
11,0,,,5,,,12,,,,,,,,,3
12,,,,5,,,12,,,23,,28,,32,,5
13,0,,,,,10,12,,,,,,,,,3
14,,,,5,,10,,,,,,,30,,,3
15,,,3,,,,,17,18,,25,,30,,,5
16,0,2,,5,,,,17,18,,,28,30,,33,8
17,,2,,,,,,17,,,,,,,33,3
18,,,,,7,,12,,,23,25,,,,,4
19,,2,,5,,10,,17,,23,,28,,,,6
20,,,3,5,7,10,12,,,23,,,,,,6
21,,2,,,,,12,,18,23,,,,,,4
22,,,3,5,,,,17,,,,28,30,,,5
23,,,,,,,,17,,23,,,30,32,,4
24,,,,,,10,,,,,,,,32,,2
25,,,,5,,,,,,,,28,,32,,3
26,,,3,,7,10,,,,,,,30,32,33,6
27,,,,,,,12,,,,,,30,,33,3
28,0,,,,,,,,,,,,,,,1
29,0,,,,7,,,,18,,,,30,,,4
30,0,,,,,10,,,,,25,,,,,3
31,,,,,7,10,,,,,25,,30,32,,5
32,,,,,7,10,12,,18,,25,,,,,5
33,,,3,5,,,,,,,,,,,33,3
34,,,,,,,12,,,,,28,,32,,3
35,0,,,,,,,,18,23,,,,,33,4
36,0,,,5,,,,,,,,,,,33,3
37,,,,,,,,,18,,,,30,,,2
38,,,,5,,,,,18,,,,,,,2
39,,,,5,7,,,17,,,,,,,33,4
40,,,,5,,,,,,23,,,,,33,3
41,,,3,,,,,,,,,,,,,1
42,0,,3,,7,,,,,,25,,30,32,,6
43,,2,,,,,,,,,,,,,,1
44,0,,,,7,,,17,,,,,30,32,33,6
45,,2,,,,,,,,,,,30,,,2
46,,,3,,,10,,,18,,,,,,33,4
47,,,,,,10,,,,23,,28,,,33,4
48,,2,,,,10,,,,,,,,32,,3
49,,2,,,7,,,,,23,,28,,,,4
50,0,,,5,,,,,,,,,,,,2
51,0,,,,,,,,,,25,,30,,,3
52,,,3,,,,,,,23,25,,,,33,4
53,,,,5,7,,,,,,,,,,,2
54,,2,,,,,,,,,25,,,,,2
55,0,,,,,,,,,,25,28,,,,3
56,,,3,,,,12,,,,,,30,,,3
57,0,,,,,,12,17,,23,,,,32,,5
58,,,,,,10,12,,,,,,,,33,3
59,,,,,,,,,,,25,,,,,1
60,,2,,,,,,,,,,,,,,1
61,,2,,,,,,,18,,,,,32,33,4
62,,,,,,,,,,,,,,,33,1
63,,,,,,,,,18,,,28,,,,2
64,,,,,,,,,,,,,,,,0
65,,,,5,7,10,12,,18,,,,30,,,6
66,,,3,,7,,12,,,23,25,,,,,5
67,,2,,,,,,,,,,,30,,,2
68,,,,,7,,,,18,,,28,,,,3
69,,,,,,10,12,17,,23,,,,,,4
70,,,,,,,,,,,,28,,,,1
71,,,,,,,,,,,,,,,,0
72,,,3,,,,,,,,25,28,,,,3
73,0,,,5,,,,,,,,,,,,2
74,,,,,7,,,17,18,,,,,32,33,5
75,,,,,,,,,,23,,,,,,1
76,,2,,,,,,17,18,,,,30,,,4
77,,,3,,,10,,,,,,,,32,,3
78,,,,,,,12,,,,,,,,,1
79,,,,,7,10,,17,,,,,,,,3
80,,,,5,,,,17,,,,,30,,,3
81,,,3,,,,,,,,,,30,,33,3
82,,,,,,,12,,,,,28,,,33,3
83,,,,,,10,,,,,25,28,,,,3
84,,,3,,7,,,,18,,25,,,,33,5
85,,,,,,10,12,,18,23,,,,32,33,6
86,0,,,,,10,12,,,,,,,32,,4
87,,,3,,7,,,,,,,,,,,2
88,,,,,7,10,,,,,,,,,,2
89,,,,,,,,,,,,,,,,0
90,,2,3,,,,,,,,,,30,,,3
91,,,,5,,,12,17,,,,,,,,3
92,,,,,,10,,17,18,,25,,,,,4
93,,2,,,,,,,,,,28,,,,2
94,,2,,,,,,17,,,25,,,,,3
95,,2,,,7,,12,,,,,,,,33,4
96,,,,,,,12,,,,,,,,33,2
97,,,,,,,12,,18,23,,,30,,,4
98,,,,,,10,,,,23,,28,,32,,4
99,,,3,,,,,,18,,,,,32,,3
100,,2,3,,,10,,,,,,,,32,,4
101,,,,,,,,,18,,,28,,,,2
102,,,,,,,12,17,,23,,28,30,32,,6
103,,,3,,,,,,18,,,,,,,2
104,0,,,,,,,,,,,,,,33,2
105,,,,,7,10,,,18,,,,,,,3
106,,2,3,,,,,,18,,,,,,,3
107,,2,,,,,12,17,,,25,28,,,,5
108,,,3,,,10,,,,,,,30,,,3
109,,,,,,,12,,,23,25,28,,,,4
110,,,,,,,,17,,,,,,32,,2
111,,,,,,10,,,,,,,,,,1
112,,,3,,7,,,,18,,25,28,,,,5
113,,2,,,,,,17,,,,,30,,,3
114,,,,,,,,,,,,28,,,,1
115,,,,5,,,,,,,,,,,,1
116,,2,,,,10,,,,,,,,,,2
117,,,,,,,,,,,,,,,,0
118,,,,,,,,,,23,,,,,33,2
119,,,,,7,,,,,,,,30,,,2
120,,,,,,,,17,18,,,,,,,2
121,0,,,,,10,,,,,,28,,32,,4
122,,,,,,,,,,,,,30,,,1
123,,,3,,,,,17,,,,28,,,,3
124,,,,,,,12,,,,,,,,,1
125,0,2,,,,,,,,,,,,,,2
126,,,,,,,,,,,,,,,,0
127,,2,,5,7,10,,,,,,,,32,,5
128,0,2,,,,,12,,,,,,30,,,4
129,,,3,,,,,,,,25,,,32,,3
130,,,,,,,,,18,,,,30,,,2
131,,,3,5,,,12,,,,,,30,,,4
132,,,3,5,,,12,,,,,,,,33,4
133,,2,,,,,,,,,,28,30,,,3
134,,,,,7,,,,,23,,28,,,,3
135,0,,,,,10,,,,,,,,,33,3
136,,2,,,,10,,17,,,,,,32,,4
137,,,,,,,,,,,,,,,,0
138,,,,,7,,,,,,25,,,,,2
139,,,3,,,,,,,,,,,,33,2
140,0,,,,,,,,,,,28,,,,2
141,,,,,,10,,,,,25,,,,,2
142,,,,,,10,,,,,,,,32,,2
