Date,Open,High,Low,Close
2018-6-21,0.539228,0.547007,0.530697,0.534775
2018-6-20,0.549738,0.550554,0.525859,0.539286
2018-6-19,0.538614,0.558059,0.534595,0.549621
2018-6-18,0.52882,0.547794,0.511833,0.537495
2018-6-17,0.535536,0.538881,0.525215,0.528216
2018-6-16,0.537106,0.539293,0.523588,0.534784
2018-6-15,0.560062,0.560062,0.534301,0.537707
2018-6-14,0.535435,0.57059,0.526614,0.561306
2018-6-13,0.562845,0.564642,0.517036,0.534663
2018-6-12,0.602136,0.602139,0.556653,0.562933
2018-6-11,0.586198,0.604066,0.568721,0.604066
2018-6-10,0.659514,0.659514,0.561237,0.588126
2018-6-9,0.674778,0.678893,0.659755,0.659755
2018-6-8,0.677586,0.679668,0.660804,0.674343
2018-6-7,0.675313,0.688223,0.673146,0.678128
2018-6-6,0.677901,0.681668,0.660059,0.674797
2018-6-5,0.661898,0.68384,0.641428,0.677015
2018-6-4,0.692466,0.703623,0.644603,0.661425
2018-6-3,0.643412,0.673594,0.640891,0.671205
2018-6-2,0.623462,0.648982,0.619477,0.643451
2018-6-1,0.612893,0.624824,0.609069,0.623364
2018-5-31,0.603452,0.621636,0.596089,0.612622
2018-5-30,0.603769,0.627679,0.590058,0.605817
2018-5-29,0.556084,0.610749,0.551635,0.601241
2018-5-28,0.608368,0.609781,0.552299,0.552299
2018-5-27,0.61204,0.612884,0.603328,0.607881
2018-5-26,0.610118,0.626494,0.6038,0.612708
2018-5-25,0.632924,0.636208,0.603334,0.611001
2018-5-24,0.599207,0.640258,0.589272,0.631997
2018-5-23,0.648634,0.649121,0.586997,0.599594
2018-5-22,0.682151,0.682933,0.644588,0.645567
2018-5-21,0.700441,0.703051,0.676203,0.681587
2018-5-20,0.677258,0.704614,0.673348,0.700244
2018-5-19,0.680759,0.69045,0.665896,0.676713
2018-5-18,0.6654,0.685625,0.65339,0.680294
2018-5-17,0.713388,0.714618,0.661213,0.66731
2018-5-16,0.69592,0.714081,0.669438,0.714081
